name,display_name,avatar,did,text,repost_count
ayrtonobrien.bsky.social,Ayrton O'Brien 🇵🇸,https://cdn.bsky.app/img/avatar/plain/did:plc:wag674sevew5ziuie5zoa3qi/bafkreia6zsd77y5xkazyiwrnnlak75g6jr3g7wq4kkzywlqgswy2ukla2i@jpeg,did:plc:wag674sevew5ziuie5zoa3qi,NA,0
program9.com,James Heslin,https://cdn.bsky.app/img/avatar/plain/did:plc:pjzzqrik4jycemcnqyzu6kqv/bafkreihviyla22cqwmhlcf3jy4ng5u2cjfn5wz3mqvcvvxupq4msx7fhgq@jpeg,did:plc:pjzzqrik4jycemcnqyzu6kqv,NA,0
books.newsmast.community.ap.brid.gy,Books & Literature Channel,https://cdn.bsky.app/img/avatar/plain/did:plc:omnbcbqqse4zrxksjlixqpu4/bafkreict3tdozyxavplzvcvgg64rbhjtxkypuaxgknw3qx6wyghlyzrhei@jpeg,did:plc:omnbcbqqse4zrxksjlixqpu4,NA,0
jenniferomeara5.bsky.social,Jennifer O'Meara,https://cdn.bsky.app/img/avatar/plain/did:plc:wse2xzmb4etf7dpmdodw75lt/bafkreihfjzluxixpqagmiw7qlobudgffzsp3vqc6imectmskaegidwruei@jpeg,did:plc:wse2xzmb4etf7dpmdodw75lt,NA,10
manofbeerd.bsky.social,,https://cdn.bsky.app/img/avatar/plain/did:plc:rze7gpuy2yqtxuahayqitmhg/bafkreidwbmtlviolb5deiuobbwc6zunlvej7mm7e3of4waab2yfsttafbi@jpeg,did:plc:rze7gpuy2yqtxuahayqitmhg,NA,0
annstapleton.bsky.social,Ann Stapleton BL,https://cdn.bsky.app/img/avatar/plain/did:plc:nmlm6fsolhv4eb3rfarh7esd/bafkreicf4jm6xyugmu5bpk7exbnu2xussf6lauttkolhiwupspmvh2ocwu@jpeg,did:plc:nmlm6fsolhv4eb3rfarh7esd,NA,0
mousketeer.bsky.social,Denise  Murray/Donnacha Ní Mhuireadhaigh,https://cdn.bsky.app/img/avatar/plain/did:plc:lapeos6kamaakxk54gws7ks2/bafkreifrkfpbsgjo7j5iw3rd4bmkfrmktbqkjx2kobg2zh7zyvtkaib6ha@jpeg,did:plc:lapeos6kamaakxk54gws7ks2,NA,0
ciara2001.bsky.social,ᚅᚓᚃ ᚆᚐᚔᚏᚇᚑ ᚃᚆᚑ ᚇᚔᚄ,https://cdn.bsky.app/img/avatar/plain/did:plc:jr5xhxt5w6a2jqh2os36rkvg/bafkreih73qv6rss52oow6222zwkgs6qlgiti73jself3g4fosgzsgolgym@jpeg,did:plc:jr5xhxt5w6a2jqh2os36rkvg,NA,5
imaginarystories.bsky.social,Imaginary Stories,https://cdn.bsky.app/img/avatar/plain/did:plc:jjn6ptz4wwbma6zefvc7ut5r/bafkreicka2gy7qlyp4p4rvkasfma6cqoi7ewbwgmdesetnab2k2ezm6uy4@jpeg,did:plc:jjn6ptz4wwbma6zefvc7ut5r,NA,0
cathibea.bsky.social,,NA,did:plc:jejoscoi6dlluplcstx4dezz,NA,0
jdalton79.bsky.social,Joanne Dalton,https://cdn.bsky.app/img/avatar/plain/did:plc:g2lpdme7nt4zwc7fq56gkugm/bafkreiaw4r2ll2u55fqo5ishdzqvh3lop4czvapk5gaopctlyxut5t7lqe@jpeg,did:plc:g2lpdme7nt4zwc7fq56gkugm,NA,0
diane.dianeduane.com,Diane Duane,https://cdn.bsky.app/img/avatar/plain/did:plc:emry77pbmuvolxxrkgpqazzf/bafkreihc7xexupmp5yo2etm7tk2r7kgxtrnyttckigipra5mxtmnjgd4de@jpeg,did:plc:emry77pbmuvolxxrkgpqazzf,NA,0
tggleeson.bsky.social,Tom Gleeson,https://cdn.bsky.app/img/avatar/plain/did:plc:bwri5etslrdnbu6jpqrznf36/bafkreihtmarp2pk4ul3uyjzpgw53xdwfpicyxd43xxn6npjxrwoapc4wce@jpeg,did:plc:bwri5etslrdnbu6jpqrznf36,NA,9
slated.ie,SLATED™,https://cdn.bsky.app/img/avatar/plain/did:plc:7czbhyt6vmlibzjk2md3ds36/bafkreihyctdalocn7dvk5b4b7arggfnlmubrlthlci6r7zf6cjbu7qe2vm@jpeg,did:plc:7czbhyt6vmlibzjk2md3ds36,NA,99
leoie.bsky.social,Leo O’Shaughnessy,https://cdn.bsky.app/img/avatar/plain/did:plc:64ict5kfks2xkx6seyubggy2/bafkreicxnornymznv6mkakurheksujgkfbd6vrjc4qfoddvc2dt7yvix5y@jpeg,did:plc:64ict5kfks2xkx6seyubggy2,NA,0
pagep195.bsky.social,Paul Page,https://cdn.bsky.app/img/avatar/plain/did:plc:obchedznliglqj7jk7y3lbeh/bafkreiajgo6vfkgsye3jqx6l6red3ektkuigznuvxgf7l6swhmf2h4neeu@jpeg,did:plc:obchedznliglqj7jk7y3lbeh,NA,0
pierpaolo.bsky.social,𝚙𝚒𝚎𝚛𝚙𝚊𝚘𝚕𝚘,https://cdn.bsky.app/img/avatar/plain/did:plc:qjpmddmvbju7udpvanfmzbnq/bafkreid4irtrd7azkg2tkyt3zchdoaqmmx5cz7rcsc5bhnhs3ekxvc7glu@jpeg,did:plc:qjpmddmvbju7udpvanfmzbnq,NA,0
albert-ibars.bsky.social,Albert Ibars,https://cdn.bsky.app/img/avatar/plain/did:plc:q76ttumhtejq2ytp3ybil6za/bafkreidtjgwgy37h6jmbgi62rzmv6il7gpbgl6npuzookehx63uulpw5z4@jpeg,did:plc:q76ttumhtejq2ytp3ybil6za,NA,0
breeze420.bsky.social,Breezie,https://cdn.bsky.app/img/avatar/plain/did:plc:kizxxe3krp4p2sv3xwdymdpk/bafkreifbgdglalkiyjqioahzg45v3at3bwden3jha5vqk5ozoz7ppofv5y@jpeg,did:plc:kizxxe3krp4p2sv3xwdymdpk,NA,0
photohour.bsky.social,PhotoHour,https://cdn.bsky.app/img/avatar/plain/did:plc:6nowce2jqpegcuacmp5l5pzi/bafkreiet5s6x7zsf44moads6gvpogdfrylmyfcjcs2yv3vlbm7h4sldvwi@jpeg,did:plc:6nowce2jqpegcuacmp5l5pzi,NA,0
roisinnineachtain.com,Róisín Ní Neachtain,https://cdn.bsky.app/img/avatar/plain/did:plc:yek2afi23gkir5z2tjd6cb5c/bafkreiaxojlzwyl5xwkajfm5evbdc2m6j4wa2r5ejxsh5z4kkpx5g2zs2u@jpeg,did:plc:yek2afi23gkir5z2tjd6cb5c,NA,0
laurie-merrell.bsky.social,Laurie,https://cdn.bsky.app/img/avatar/plain/did:plc:w5jr52v7wrocarv6gxdq7tn2/bafkreibidi23tnpreifndajbiyvxdckpozsmw26j6irk3lmxfy66ublvia@jpeg,did:plc:w5jr52v7wrocarv6gxdq7tn2,NA,0
billallen.bsky.social,Bill Allen,https://cdn.bsky.app/img/avatar/plain/did:plc:ubhohqs7p46y2yqjnaensiyo/bafkreiexluiz3l2ytbjsosxgo5ovmhteceozdba66t2lgawvmchahmjnde@jpeg,did:plc:ubhohqs7p46y2yqjnaensiyo,NA,0
sandraduffy.bsky.social,Dr. Sandra Duffy Golden,https://cdn.bsky.app/img/avatar/plain/did:plc:selsekqxn4n6hgtgn2mo4gqy/bafkreigat33z5feugadpwgakxto4hnzvs5wjbuvsfbpmaipghycpbpekjq@jpeg,did:plc:selsekqxn4n6hgtgn2mo4gqy,NA,0
thewildgees.bsky.social,The Wild Gees,https://cdn.bsky.app/img/avatar/plain/did:plc:ovsh7y2xzq634gucbg3ffoix/bafkreifduw3khdnk2afu5zqjksb77k3ehruwllkj4uwbmgscbytfwwhvfy@jpeg,did:plc:ovsh7y2xzq634gucbg3ffoix,NA,0
helstinki.bsky.social,Helen,https://cdn.bsky.app/img/avatar/plain/did:plc:k6syquhpl2vvwirhdbxvge7z/bafkreiceirp5yhqml6h2zd2gdhiufwiiv7d2p4y5riplans5hhxh55be5e@jpeg,did:plc:k6syquhpl2vvwirhdbxvge7z,NA,0
martinadevlinbooks.bsky.social,Martina Devlin,https://cdn.bsky.app/img/avatar/plain/did:plc:k4ioshcs4uibg5y5hofvzd4u/bafkreifuxbmuhcdu6j53xeyle6bousacpy6blrsigmgi36vp5tuptl7egm@jpeg,did:plc:k4ioshcs4uibg5y5hofvzd4u,NA,0
profkakie.bsky.social,ProfKakie,https://cdn.bsky.app/img/avatar/plain/did:plc:jtdxu5uropse3vw7gpj26uk4/bafkreiedv5jmuqfizxlaid6mcau4jvvepqbpeomwrnf4ijd3dvvddrmmle@jpeg,did:plc:jtdxu5uropse3vw7gpj26uk4,NA,0
ravenbooks.bsky.social,Raven Books,https://cdn.bsky.app/img/avatar/plain/did:plc:i4k5jo343mnn5kjf3ooz2rhj/bafkreigbpobgyckzd4mjtbbsic56beydb73bd44proyzc7wwl3ozluwusm@jpeg,did:plc:i4k5jo343mnn5kjf3ooz2rhj,NA,9
twiginasana.bsky.social,Usually pronounced incorrectly,https://cdn.bsky.app/img/avatar/plain/did:plc:ewmjduce2r62ezf62f7meyzt/bafkreidsp7pxsxclm6rskxcwrvk4tfnauqs24qpuzk72j2q2zmy27hcw24@jpeg,did:plc:ewmjduce2r62ezf62f7meyzt,NA,0
shibh.bsky.social,Siobhán Freya,https://cdn.bsky.app/img/avatar/plain/did:plc:etzl2cq3lwxobxvnpn6pe4dl/bafkreibap3kofga2h7nrr5t355xrkr3ms26hqiyg7ar7hsouwbmq65qqru@jpeg,did:plc:etzl2cq3lwxobxvnpn6pe4dl,NA,0
effiesnake.bsky.social,Effie Snake,https://cdn.bsky.app/img/avatar/plain/did:plc:cyv4wuxhvi6ly62b6rldrzqz/bafkreihf7tynqkkv7aeamyjo6i53auxdwdxsym2ehij6npwvgfjwhlowjq@jpeg,did:plc:cyv4wuxhvi6ly62b6rldrzqz,NA,0
deborahrosereeves.bsky.social,Deborah Rose,https://cdn.bsky.app/img/avatar/plain/did:plc:cyspha7oac3dwdem3ewtgpdq/bafkreicmiauyhsnq3xczlhqilyoagxnpjslux4aef47iramwtnwu2rsc6q@jpeg,did:plc:cyspha7oac3dwdem3ewtgpdq,NA,0
cathalmalone.bsky.social,Cathal Malone,https://cdn.bsky.app/img/avatar/plain/did:plc:auv62yln2sadyttfcomqh7hu/bafkreid6n5i6nfmiof6augoy3ldydycw7sspzvbuh6lnnglm7gpqvdjtpq@jpeg,did:plc:auv62yln2sadyttfcomqh7hu,NA,0
mimmcloughlin.bsky.social,Mim,https://cdn.bsky.app/img/avatar/plain/did:plc:2rhdn5zhn7mkfvy75rgdqjmw/bafkreignc6tgwg4xafztzqul47usyeg6pawgvqoo6oxwob56t7rq2nagcy@jpeg,did:plc:2rhdn5zhn7mkfvy75rgdqjmw,NA,0
tonykavanagh.bsky.social,Tony Kavanagh,https://cdn.bsky.app/img/avatar/plain/did:plc:6rnpjkmwfrtkqhi3z7xxoqou/bafkreiggezzqfsk6nmjbfdugad5h75l66tgb2danvdvna56obc4ozwqrgy@jpeg,did:plc:6rnpjkmwfrtkqhi3z7xxoqou,NA,0
ballerinax.bsky.social,ballerina X,https://cdn.bsky.app/img/avatar/plain/did:plc:ocakzaba6tjbfny4fcwoa7p6/bafkreiep3zhhdmj5qule7m4spoy65ia37dytp63to4mjky32ro2fyufjbm@jpeg,did:plc:ocakzaba6tjbfny4fcwoa7p6,NA,0
judesherry.bsky.social,Jude Sherry,https://cdn.bsky.app/img/avatar/plain/did:plc:tjj7toux5q6m2v7x2unyhznh/bafkreibcoekv65qh5krdw3b6dgn6mj6mtvrcnhv6dsutaya3qi62alvhku@jpeg,did:plc:tjj7toux5q6m2v7x2unyhznh,NA,67
nilochnain.bsky.social,Hanna Ní Lochnáin,https://cdn.bsky.app/img/avatar/plain/did:plc:x2ehvvub6oklbvx4xeb3f2mk/bafkreih5rlw4lnarqyjedrotrby73li5k3dkihoyn4bqmw7efwawetqsa4@jpeg,did:plc:x2ehvvub6oklbvx4xeb3f2mk,NA,0
emmadragon.bsky.social,Emma Rogan 🇵🇸,https://cdn.bsky.app/img/avatar/plain/did:plc:qb4oplsgvdtu6xynnfiptom5/bafkreigkr2viv5imcf5uwxgm5uondgmf6lp35fbf6wsrtl6ogrmwpmbuk4@jpeg,did:plc:qb4oplsgvdtu6xynnfiptom5,NA,0
brendanjharkin.bsky.social,Brendan Harkin,https://cdn.bsky.app/img/avatar/plain/did:plc:p7fpzrwn66pqywedsepeobot/bafkreihoqrjkjnrej637ekxzcfmjsxvdqaf7b4ogikk6rhpq3o3crkmw5q@jpeg,did:plc:p7fpzrwn66pqywedsepeobot,NA,0
helendublin.bsky.social,H 🇵🇸 ☘️,https://cdn.bsky.app/img/avatar/plain/did:plc:nigs7kco6eoaxc5aiimsaxc3/bafkreiaj7z2yu2lzryk5qzdp44e3ixs7tlx3g6afgiigokyx7zqy4oa4wm@jpeg,did:plc:nigs7kco6eoaxc5aiimsaxc3,NA,4
ljmccartan.bsky.social,L. J. McCartan,https://cdn.bsky.app/img/avatar/plain/did:plc:ncsqamz3ltoap7afcojtsxnb/bafkreibgaqprrllxgqvntevzyzfql7ucxa4dudzmgzafyovvetcgnqgtvq@jpeg,did:plc:ncsqamz3ltoap7afcojtsxnb,NA,0
frankoconnor.bsky.social,Frank O'Connor ,https://cdn.bsky.app/img/avatar/plain/did:plc:eweyharmeuf3er35ejhbjp4o/bafkreifvl2t3cuhutlxbzfywyxxpltjsq3j3wkoklokfzmd5tqp7uwxxue@jpeg,did:plc:eweyharmeuf3er35ejhbjp4o,NA,32
atticuspeirgorm.bsky.social,Atticus Flinch,https://cdn.bsky.app/img/avatar/plain/did:plc:e2vdb3yylfvzgvlo3fi5mrkf/bafkreid6vc7ytoznulcw2bpavmlbpcbrjfocklnwlrycvps4jten5f4fqa@jpeg,did:plc:e2vdb3yylfvzgvlo3fi5mrkf,NA,4
orla-hegarty.bsky.social,Orla Hegarty,https://cdn.bsky.app/img/avatar/plain/did:plc:aozsf6n4ii7kftvlsr2yvfhq/bafkreibk6koa3slkia266xznwmvfjfiokoju3swedae4psn5ibmizlcbeq@jpeg,did:plc:aozsf6n4ii7kftvlsr2yvfhq,NA,75
sickofthisbs77.bsky.social,Colleen but feral ❌️👑,https://cdn.bsky.app/img/avatar/plain/did:plc:6o2mwe2drvb2thcdg662mzxr/bafkreier3pyc2rassuaxbopy5mc7yw4zfq5w5aknhwl7uxpiecnrfmtas4@jpeg,did:plc:6o2mwe2drvb2thcdg662mzxr,NA,0
sullydaysleeper.bsky.social,Hannah O'Sullivan,https://cdn.bsky.app/img/avatar/plain/did:plc:63mlf5ayqa3qbmgddw4d4zsu/bafkreigr3z4clxb32mpt264advwzqbvwidefw3tfmpkumfm4jbbhblgppm@jpeg,did:plc:63mlf5ayqa3qbmgddw4d4zsu,NA,13
dkly70.bsky.social,Danny Kelly,https://cdn.bsky.app/img/avatar/plain/did:plc:5hx3jpwself7jw7u6fvzdobw/bafkreib6hosiezm3h7bvsduygksec4gwsfqdzmkezdhxzkxbd2nqggzhzy@jpeg,did:plc:5hx3jpwself7jw7u6fvzdobw,NA,0
stitchlily.bsky.social,Orla Breslin,https://cdn.bsky.app/img/avatar/plain/did:plc:3nu7oejfrf4s34vohvwkavtc/bafkreidi4cemuzswiwnoqdbyh6cpeht3db4womll6bybb7i2cseehluune@jpeg,did:plc:3nu7oejfrf4s34vohvwkavtc,NA,0
kinford.bsky.social,Steven Kindlon,https://cdn.bsky.app/img/avatar/plain/did:plc:3eotk6otapqkn7r4nhexxmxv/bafkreicstkbnznvvkko46yxlvkw7jpvgmaswwlq2g2qpborfhscecsrtzq@jpeg,did:plc:3eotk6otapqkn7r4nhexxmxv,NA,0
salvadorryan.bsky.social,Salvador Ryan,https://cdn.bsky.app/img/avatar/plain/did:plc:gvipcst7nw4q57v6trahbbf2/bafkreieiveps3tkg7czabl6m4bormdvulupxnqgjkqw77tjam3kkjkws74@jpeg,did:plc:gvipcst7nw4q57v6trahbbf2,NA,0
chendirl.bsky.social,Ciara Nic Ionnraic PhD #SciComms #Interdisciplinary #COSTActions,https://cdn.bsky.app/img/avatar/plain/did:plc:4gkhunopukop6ugvlessqyvx/bafkreichhh7prmaxzvh5msqgfpcg3dbqqmzrx6qpbzvyrpvbpdmpqakfy4@jpeg,did:plc:4gkhunopukop6ugvlessqyvx,NA,11
eurohealthhist.bsky.social,COST Action CA22159  Euro Hist Health,https://cdn.bsky.app/img/avatar/plain/did:plc:43udcd6xbnkbqgiwhmbkk35n/bafkreibtfflij72hzbcn77aalmdtstziknsgtubdejsf2tq4pbefxgpnum@jpeg,did:plc:43udcd6xbnkbqgiwhmbkk35n,NA,0
marwoodlennox.bsky.social,Marwood,https://cdn.bsky.app/img/avatar/plain/did:plc:zc3ow6z4lrjz53cu45mxwhgl/bafkreignqv7tmvnpvrdoxsjwmrq7kc2b4x6ur3wjc7vam4azfpq63hbrtu@jpeg,did:plc:zc3ow6z4lrjz53cu45mxwhgl,NA,0
rs-glide08.bsky.social,Oh wow Blue Sky is on bluesky 🔜NFC2026,https://cdn.bsky.app/img/avatar/plain/did:plc:romrhbwqln5gxzmylgupigf7/bafkreiey2kpq4yjsyafmk4rdvymp7ofkemzufqje2kxgmjcil4k3kmo4ie@jpeg,did:plc:romrhbwqln5gxzmylgupigf7,NA,0
eils1.bsky.social,Eils_G 📎,https://cdn.bsky.app/img/avatar/plain/did:plc:o6r25j7gta3mqqiojwbo737f/bafkreiamksix5om375dc2sg2qkm3dgwns62qcq6mx4evta3nzdregvrxjm@jpeg,did:plc:o6r25j7gta3mqqiojwbo737f,NA,0
melysue.bsky.social,,https://cdn.bsky.app/img/avatar/plain/did:plc:o7fkhpwqavytxhj3gvy4vj2q/bafkreiaj6kmqu6og7bn7nqwjkqu376mbnir5c2tcsiwkz2gojgtu5jxqai@jpeg,did:plc:o7fkhpwqavytxhj3gvy4vj2q,NA,0
sqotn.bsky.social,🏳️‍⚧️Suzi QotN Sobering Era (Redux)🖤  🏳️‍🌈🇪🇺🇧🇪,https://cdn.bsky.app/img/avatar/plain/did:plc:o42v6w33sjqn3ikxfaqps47a/bafkreigzyslfwleyc5cx46em4k6gqaa2xfnyyb55424ori2dipzo7xqaz4@jpeg,did:plc:o42v6w33sjqn3ikxfaqps47a,NA,0
thebluemango.in,Shweta,https://cdn.bsky.app/img/avatar/plain/did:plc:lde27codxx2uxhwpjpapnjyn/bafkreihu4bboz3o2gcq4krlgj6ew35axlmtut4yzgqfolyvcdyp7rnb7oe@jpeg,did:plc:lde27codxx2uxhwpjpapnjyn,NA,0
gulliver77.bsky.social,Gilbert,https://cdn.bsky.app/img/avatar/plain/did:plc:isufo4kqgzdzzgzmokmt35lh/bafkreifopsvxo6x5kqtmzskxmbh4krmmemyu2sprclbfn2zmysomuhrc7i@jpeg,did:plc:isufo4kqgzdzzgzmokmt35lh,NA,0
lyphshro.bsky.social,Sonnenschein ,https://cdn.bsky.app/img/avatar/plain/did:plc:7nv3ngeqxrirw3xabevhuqc3/bafkreih5ru6medtzjdwg3l2ppxafd52jfu5vdwlw3bdjf3uojg7ygoilba@jpeg,did:plc:7nv3ngeqxrirw3xabevhuqc3,NA,0
kevjhnstn.bsky.social,Kev,https://cdn.bsky.app/img/avatar/plain/did:plc:knq5nbshjm6zjxjy5n6o7vst/bafkreidyy2u5md5gp7zucirtxxhgcqrjxg2hzl5a6dqqrsguhvzplyez3e@jpeg,did:plc:knq5nbshjm6zjxjy5n6o7vst,NA,0
wittyrodger.bsky.social,Austin,https://cdn.bsky.app/img/avatar/plain/did:plc:jgiz4mpewl2lceysk5omu7r4/bafkreicaq6tckz76w2ytew5v5kxtbylj2ds2vhd2tt6o5rqxcafubcdfey@jpeg,did:plc:jgiz4mpewl2lceysk5omu7r4,NA,0
childrensbooksireland.ie,Children's Books Ireland,https://cdn.bsky.app/img/avatar/plain/did:plc:armzoyewxhogitjy2dmly7ve/bafkreie5dymnlslcdyhpir774stmnvi3sjn6b44veaehrscs2zjmssc5xi@jpeg,did:plc:armzoyewxhogitjy2dmly7ve,NA,0
bobjohnstonbooks.bsky.social,Bob Johnston,https://cdn.bsky.app/img/avatar/plain/did:plc:w3cy4tv3t6jkpwdslsb7vyf7/bafkreigttgut2apnli2wcu6zp3lkqwryzwn3g23qp3mjbhwsabymwlocfy@jpeg,did:plc:w3cy4tv3t6jkpwdslsb7vyf7,NA,0
ianthe.online,goblán peile ⚽,https://cdn.bsky.app/img/avatar/plain/did:plc:psnjo4sajhs3aojsmbmizuch/bafkreiemn3nfonmcfoe5yvaazkljzdcbwfrcjtwaviuyk7k6kyzgklv5xm@jpeg,did:plc:psnjo4sajhs3aojsmbmizuch,NA,0
dov.bsky.social,Marxist-Tolkienist-Zelenskyist 🇺🇦🇱🇹🇵🇸🏴󠁧󠁢󠁳󠁣󠁴󠁿,https://cdn.bsky.app/img/avatar/plain/did:plc:gmbqy5pcenb4bduadxtinou7/bafkreibzdhwe73m2qmxaffz6jwkcc5takensiw35jtx4hvis4hajway74m@jpeg,did:plc:gmbqy5pcenb4bduadxtinou7,NA,2
just-me123.bsky.social,,https://cdn.bsky.app/img/avatar/plain/did:plc:e4kzhekwgncm2shgcvsj464d/bafkreifrflfkhg4i7n32f4mz5f7eqva42canzdod7smtrnaw6te4lu5egq@jpeg,did:plc:e4kzhekwgncm2shgcvsj464d,NA,0
liamshields.bsky.social,Liam Shields,https://cdn.bsky.app/img/avatar/plain/did:plc:b4l24xphita2zba3hobtaiuv/bafkreib3ceci34tmag7phkpsmztcocuhphq555c6xvipfyil3472c2hcfm@jpeg,did:plc:b4l24xphita2zba3hobtaiuv,NA,0
electionlit.bsky.social,Alan Kinsella ,https://cdn.bsky.app/img/avatar/plain/did:plc:swknwdgyvbkrbda6fdhhwefj/bafkreibe5eht3zusyuytskvrcmxckaxyf457zyrjktgl4h6ayqcczc5uqy@jpeg,did:plc:swknwdgyvbkrbda6fdhhwefj,NA,25
mnicearbhaill.bsky.social,Mallaidh,https://cdn.bsky.app/img/avatar/plain/did:plc:2ktwvs4qs6ns5pngeneokb4l/bafkreihsxg7kndbnytucpx64nh4bztxn53zt3or5muwvq4naksjrj3grky@jpeg,did:plc:2ktwvs4qs6ns5pngeneokb4l,NA,0
cathyby.bsky.social,Cathy,https://cdn.bsky.app/img/avatar/plain/did:plc:vo3c5x2szy6wq4xc3dlemv7f/bafkreiarphurwfrb46sf27gpfbabczphtu5groh64775tdudwatiqv7mjy@jpeg,did:plc:vo3c5x2szy6wq4xc3dlemv7f,NA,3
cardcolm.bsky.social,Colm Mulcahy,https://cdn.bsky.app/img/avatar/plain/did:plc:bkputoduxeiv7q3saj3ma2on/bafkreif3hsmr5lg6snsjvjawjkjnxflnuqseiuwpnftvbyk65bjesj54mm@jpeg,did:plc:bkputoduxeiv7q3saj3ma2on,NA,0
vigilsforfriends.com,m sharp,https://cdn.bsky.app/img/avatar/plain/did:plc:q47utnibp2jwl6xosjpls2op/bafkreifkqbdv2rixp7bcx3hze4tzjbgpx5lc5kyzbqsskmpuzapjftsrcq@jpeg,did:plc:q47utnibp2jwl6xosjpls2op,NA,0
kenlauder.bsky.social,Ken Lauder,https://cdn.bsky.app/img/avatar/plain/did:plc:opygu2uomcambtp4n4j5ld5h/bafkreihzh5ammr3wya2eyf3oyx5oizn3uuwqmyz4nwtfsfe6ut4s6xz3rm@jpeg,did:plc:opygu2uomcambtp4n4j5ld5h,NA,0
cjc-rw.bsky.social,Chris Cook,https://cdn.bsky.app/img/avatar/plain/did:plc:m4onwecy6wndufqbwbc6r6wo/bafkreiceeyptvl22em4v2yaw4yrufjayxaguhdhaoounqu7rtr5dh72ntq@jpeg,did:plc:m4onwecy6wndufqbwbc6r6wo,NA,0
itmeanspencil.bsky.social,leeann h. j. hamilton,https://cdn.bsky.app/img/avatar/plain/did:plc:6i76ess6n5gq4noaefq5ioyl/bafkreiczkizeb3jmjhjmkr3t5i5z2jdvysnvgmdblhnk4rqw4rlcqb34au@jpeg,did:plc:6i76ess6n5gq4noaefq5ioyl,NA,0
ljfafo.bsky.social,LJFafo,https://cdn.bsky.app/img/avatar/plain/did:plc:6dwjyhih5o54gjs5ta2kfxxl/bafkreig3bfv2zyapj63wcma74zqmhrlqtppetv4a4odia5hbzg4tcwrr5y@jpeg,did:plc:6dwjyhih5o54gjs5ta2kfxxl,NA,0
diamondjoltva.bsky.social,Talyn McCarron VA,https://cdn.bsky.app/img/avatar/plain/did:plc:5jqln6lj4pbjttev22sy77mu/bafkreifdsf534yqeq6sfvenafggz2ycmyfooeohzluojglol5lzgxdqif4@jpeg,did:plc:5jqln6lj4pbjttev22sy77mu,NA,0
